order_id,customer_id,product_id,quantity,price,order_date,name,username,email,lat,lng,temperature,weather_description
6812,2,36,3,76.58,2022-06-01,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
6396,2,8,9,45.01,2022-06-04,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8794,2,9,4,38.7,2022-06-05,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
4394,2,32,1,55.19,2022-06-08,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
3888,2,8,3,11.49,2022-06-13,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
6153,2,24,10,48.72,2022-06-23,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
6918,2,19,2,24.89,2022-06-27,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
9003,2,26,2,68.11,2022-06-28,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8077,2,20,8,58.43,2022-06-29,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
7946,2,35,7,51.54,2022-07-03,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
7697,2,36,8,51.85,2022-07-08,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
7860,2,13,7,20.56,2022-07-08,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8502,2,22,10,60.85,2022-07-08,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
4256,2,4,7,65.06,2022-07-09,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8403,2,50,1,46.98,2022-07-15,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8030,2,13,2,64.93,2022-07-21,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
8712,2,50,3,76.8,2022-07-22,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,282.52,overcast clouds
